id,chart_week_id,rank,rank_change,points,points_change_pct,peak,woc,sales,sales_share_pct,streams,streams_share_pct,airplay,airplay_share_pct,units,song_id,created_at
88,1,88,-22,41,-29.0,18,3,200,1.0,5300000,99.0,0,0.0,40600,88,2025-08-20 02:55:04
89,1,89,8,40,-5.0,82,8,300,1.0,4700000,80.0,6100000,19.0,31900,89,2025-08-20 02:55:04
90,1,90,10,40,-3.0,42,7,300,1.0,4100000,60.0,12600000,40.0,22400,90,2025-08-20 02:55:04
91,1,91,5,40,-5.0,82,2,600,2.0,3300000,47.0,16400000,51.0,17200,91,2025-08-20 02:55:04
92,1,92,0,40,,22,16,200,0.0,3700000,64.0,11300000,36.0,24600,92,2025-08-20 02:55:04
93,1,93,-42,39,-43.0,51,2,200,1.0,5500000,99.0,0,0.0,39200,93,2025-08-20 02:55:04
94,1,94,-32,39,-34.0,62,2,300,1.0,5400000,99.0,0,0.0,37900,94,2025-08-20 02:55:04
95,1,95,-41,38,-41.0,54,2,100,0.0,5100000,100.0,0,0.0,37800,95,2025-08-20 02:55:04
96,1,96,0,38,-15.0,53,4,200,1.0,5100000,99.0,0,0.0,36700,96,2025-08-20 02:55:04
97,1,97,-41,37,-41.0,56,2,300,1.0,5000000,99.0,0,0.0,37300,97,2025-08-20 02:55:04
98,1,98,0,37,,65,7,100,0.0,5800000,100.0,0,0.0,36600,98,2025-08-20 02:55:04
99,1,99,0,35,,99,1,700,2.0,4200000,82.0,4700000,16.0,28800,99,2025-08-20 02:55:04
100,1,100,-36,35,-39.0,50,3,100,0.0,4800000,99.0,200000,1.0,35100,100,2025-08-20 02:55:04
101,2,1,1,242,12.0,1,7,6500,3.0,31500000,93.0,8400000,4.0,229800,2,2025-08-20 02:55:09
102,2,2,-1,242,7.0,1,26,8000,3.0,21000000,59.0,73500000,38.0,146400,1,2025-08-20 02:55:09
103,2,3,0,192,,3,1,5500,3.0,25200000,96.0,1000000,1.0,189400,101,2025-08-20 02:55:09
104,2,4,-1,168,1.0,1,12,2000,1.0,19800000,81.0,23800000,18.0,133400,3,2025-08-20 02:55:09
105,2,5,-1,146,-4.0,2,4,2000,2.0,15800000,80.0,21600000,18.0,117500,4,2025-08-20 02:55:09
106,2,6,0,143,1.0,6,19,800,1.0,12700000,61.0,44000000,39.0,87000,6,2025-08-20 02:55:09
107,2,7,-2,142,-3.0,2,20,1500,1.0,15300000,73.0,29400000,26.0,101500,5,2025-08-20 02:55:09
108,2,8,1,142,4.0,8,7,2000,1.0,19700000,98.0,200000,0.0,141200,9,2025-08-20 02:55:09
109,2,9,-2,140,1.0,1,103,2000,1.0,16000000,68.0,34100000,30.0,90700,7,2025-08-20 02:55:09
110,2,10,-2,138,0.0,1,69,2000,1.0,13800000,63.0,39500000,36.0,83500,8,2025-08-20 02:55:09
111,2,11,-1,133,-1.0,1,51,1500,1.0,11000000,54.0,47800000,45.0,71400,10,2025-08-20 02:55:09
112,2,12,-1,132,0.0,2,27,1500,1.0,15900000,79.0,20800000,20.0,101400,11,2025-08-20 02:55:09
113,2,13,-1,127,-2.0,1,37,600,0.0,10600000,54.0,45900000,45.0,67000,12,2025-08-20 02:55:09
114,2,14,2,127,6.0,14,6,2500,2.0,16900000,98.0,0,0.0,126000,15,2025-08-20 02:55:09
115,2,15,-2,125,-4.0,1,9,1000,1.0,10600000,59.0,40100000,40.0,73000,13,2025-08-20 02:55:09
116,2,16,1,124,8.0,16,37,2000,1.0,8200000,40.0,58500000,59.0,46800,18,2025-08-20 02:55:09
117,2,17,-3,123,1.0,4,60,3000,3.0,10700000,60.0,37000000,38.0,75200,16,2025-08-20 02:55:09
118,2,18,-3,122,1.0,2,80,1500,1.0,12700000,66.0,31500000,32.0,79000,14,2025-08-20 02:55:09
119,2,19,0,120,4.0,19,6,2000,2.0,16300000,98.0,0,0.0,119600,17,2025-08-20 02:55:09
120,2,20,-2,120,4.0,12,27,700,1.0,9000000,52.0,45700000,48.0,61400,20,2025-08-20 02:55:09
121,2,21,-1,112,-1.0,1,65,1500,1.0,12300000,71.0,25000000,28.0,76700,22,2025-08-20 02:55:09
122,2,22,0,110,-1.0,2,64,800,1.0,10000000,61.0,33800000,39.0,65700,23,2025-08-20 02:55:09
123,2,23,1,107,4.0,7,12,700,1.0,13200000,86.0,11300000,13.0,90900,24,2025-08-20 02:55:09
124,2,24,1,106,3.0,17,15,1500,1.0,10800000,70.0,24200000,29.0,73700,25,2025-08-20 02:55:09
125,2,25,4,100,8.0,25,6,2500,2.0,13500000,98.0,0,0.0,99900,28,2025-08-20 02:55:09
126,2,26,0,99,1.0,19,23,800,1.0,6000000,40.0,46900000,59.0,37900,26,2025-08-20 02:55:09
127,2,27,1,98,6.0,27,6,2000,2.0,13600000,98.0,0,0.0,97800,27,2025-08-20 02:55:09
128,2,28,2,96,4.0,25,18,700,1.0,8700000,61.0,29300000,38.0,58000,31,2025-08-20 02:55:09
129,2,29,4,96,10.0,29,6,1500,2.0,13300000,98.0,0,0.0,95500,34,2025-08-20 02:55:09
130,2,30,2,93,3.0,30,19,400,0.0,12300000,91.0,6100000,8.0,84600,32,2025-08-20 02:55:09
131,2,31,-4,91,-3.0,4,18,1000,1.0,12100000,86.0,9300000,13.0,75100,29,2025-08-20 02:55:09
132,2,32,8,89,7.0,17,4,900,1.0,10400000,89.0,7100000,10.0,79600,38,2025-08-20 02:55:09
133,2,33,1,87,0.0,15,17,1500,2.0,8900000,70.0,20100000,29.0,60300,33,2025-08-20 02:55:09
134,2,34,9,87,10.0,34,2,2000,2.0,12200000,94.0,2400000,3.0,81900,42,2025-08-20 02:55:09
135,2,35,6,86,7.0,25,14,700,1.0,8900000,65.0,23600000,34.0,55400,41,2025-08-20 02:55:09
136,2,36,0,85,0.0,10,33,200,0.0,4900000,39.0,41200000,60.0,32900,36,2025-08-20 02:55:09
137,2,37,-2,85,-2.0,34,14,1500,2.0,8000000,63.0,23900000,35.0,61900,35,2025-08-20 02:55:09
138,2,38,4,83,4.0,38,15,600,1.0,6500000,52.0,31400000,47.0,41900,43,2025-08-20 02:55:09
139,2,39,-18,79,-29.0,21,5,700,1.0,10600000,97.0,1200000,2.0,76000,21,2025-08-20 02:55:09
140,2,40,-9,79,-15.0,2,5,300,0.0,7400000,68.0,20000000,32.0,53000,30,2025-08-20 02:55:09
141,2,41,3,78,0.0,20,30,1000,1.0,9400000,79.0,11900000,19.0,60500,45,2025-08-20 02:55:09
142,2,42,-5,77,-9.0,2,25,700,1.0,7900000,73.0,16200000,26.0,56000,37,2025-08-20 02:55:09
143,2,43,2,76,-2.0,3,42,1500,2.0,8200000,69.0,17600000,29.0,52800,47,2025-08-20 02:55:09
144,2,44,5,76,3.0,44,16,800,1.0,6600000,58.0,24700000,41.0,42400,49,2025-08-20 02:55:09
145,2,45,1,75,-4.0,1,42,900,1.0,8900000,77.0,13100000,22.0,55800,46,2025-08-20 02:55:09
146,2,46,8,74,23.0,46,8,500,1.0,9500000,88.0,6600000,11.0,64500,54,2025-08-20 02:55:09
147,2,47,-9,67,-20.0,38,2,1000,2.0,7700000,79.0,10600000,20.0,51000,39,2025-08-20 02:55:09
148,2,48,2,62,-12.0,16,3,900,1.0,8800000,98.0,100000,0.0,61100,50,2025-08-20 02:55:09
